,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,boms_id,Operating Temperature, Non-operating Temperature, Operating Relative Humidity, Non-operating Relative Humidity,Net Weight, Gross Weight,chassis,motherboard,form_factor,power_supply,chipset,cores,height_mm,width_mm,depth_mm,product_colour,pcl_express_x16_slots,pcl_express_x8_slots,pcl_express_slots_version,maximum_internal_memory,usb_3_0_type_a_ports_quantity,usb_2_0_type_a_ports_quantity,processor_socket,ecc,nodes,partner,desc,type,Gross Weight, Net Weight," Net Weight w/ 2.5"" HDDs"," Net Weight w/ 3.5"" HDDs",See Note * Non-operating Temperature,Operating Relative Humidity,Non-operating Relative Humidity, * Support for operating above 30°C is available in certain system configurations. Contact your Supermicro sales rep or Technical Support for more details. Non-operating Temperature,   with HDD Non-operating Temperature,Non-operating Temperature
0,0.0,0.0,0.0,0.0,0.0,37, 10°C to 35°C (50°F to 95°F, -40°C to 70°C (-40°F to 158°F, 8% to 90% (non-condensing, 5% to 95% (non-condensing, 20 lbs (9.1 kg, 33 lbs (15.0 kg,CSE-813MFTQC-R407CB,H11SSL-i,1U,400W 1U Redundant Power Supplies with PMbus,System on Chip (SoC),Up to 32 Cores (Board revision 1.x + 7001 Processors) Up to 64 Cores (Board revision 2.x + 7002 Processors),"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x16 (FH/HL) slot,,3.0 x16 (FH/HL) slotM.2 Interface: PCI-E 3.0 x4 (NVMe based),1TB,5 USB 3.0 ports (2 rear + 2 via header + 1 Type A,5 USB 3.0 ports (2 rear + 2 via header + 1 Type A,,Y,1,supermicro,1013S-MTR,S,,,,,,,,,,
1,1.0,1.0,1.0,1.0,,174, 10°C to 35°C (50°F to 95°F, -40°C to 70°C (-40°F to 158°F, 8% to 90% (non-condensing, 5% to 95% (non-condensing, 20 lbs (9.1 kg, 33 lbs (15.0 kg,CSE-813MFTQC-R407CB,H11SSL-i,1U,400W 1U Redundant Power Supplies with PMbus,System on Chip (SoC),Up to 32 Cores (Board revision 1.x + 7001 Processors) Up to 64 Cores (Board revision 2.x + 7002 Processors),"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1 PCI-E 3.0 x16 (FH/HL) slot,,3.0 x16 (FH/HL) slotM.2 Interface: PCI-E 3.0 x4 (NVMe based),1TB,5 USB 3.0 ports (2 rear + 2 via header + 1 Type A,5 USB 3.0 ports (2 rear + 2 via header + 1 Type A,,Y,1,supermicro,1013S-MTR,SUPERMICRO,,,,,,,,,,
2,2.0,2.0,2.0,2.0,,94,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 25.5 lbs (11.6 kg, 39 lbs (17.7 kg,CSE-116TQ-R706WB,Super X10DRW-i,1U Rackmount,,Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,,"2 PCI-E 3.0 x16 (FHHL), 1 PCI-E 3.0",2TB,6 USB 3.0,6x USB 3.0 ports (4 rear + 2 via header,Dual socket R3 (LGA 2011) supports,Y,1,supermicro,1028R-WTR,S,,,,,,,,,,
3,3.0,3.0,3.0,3.0,,178,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 25.5 lbs (11.6 kg, 39 lbs (17.7 kg,CSE-116TQ-R706WB,Super X10DRW-i,1U Rackmount,,Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,,"2 PCI-E 3.0 x16 (FHHL), 1 PCI-E 3.0",2TB,6 USB 3.0,6x USB 3.0 ports (4 rear + 2 via header,Dual socket R3 (LGA 2011) supports,Y,1,supermicro,1028R-WTR,SUPERMICRO,,,,,,,,,,
4,4.0,4.0,4.0,4.0,,95,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 25.5 lbs (11.6 kg, 39 lbs (17.7 kg,CSE-116TQ-R706WB,Super X10DRW-iT,1U Rackmount,,Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,,"2 PCI-E 3.0 x16 (FHHL), 1 PCI-E 3.0",2TB,6 USB 3.0,6x USB 3.0 ports (4 rear + 2 via header,Dual socket R3 (LGA 2011) supports,Y,1,supermicro,1028R-WTRT,S,,,,,,,,,,
5,5.0,5.0,5.0,5.0,,179,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing, 25.5 lbs (11.6 kg, 39 lbs (17.7 kg,CSE-116TQ-R706WB,Super X10DRW-iT,1U Rackmount,,Intel® C612 chipset,Up to 22 Cores† / Up to 55MB† Cache,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,,"2 PCI-E 3.0 x16 (FHHL), 1 PCI-E 3.0",2TB,6 USB 3.0,6x USB 3.0 ports (4 rear + 2 via header,Dual socket R3 (LGA 2011) supports,Y,1,supermicro,1028R-WTRT,SUPERMICRO,,,,,,,,,,
6,6.0,6.0,6.0,6.0,,96,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,46 lbs (20.9kg),CSE-116AC2-R706WB2,Super X11DDW-NT,1U Rackmount,,Intel® C622 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,1 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 (FHHL) slots,    1 PCI-E 3.0 x8 (LP) slot,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,6 USB 3.0,"6 USB 3.0 ports (4 rear, 2 front via header",Dual Socket P (LGA 3647) support,Y,1,supermicro,1029P-WTRT,S,,,,,,,,,,
7,7.0,7.0,7.0,7.0,,183,    10°C ~ 35°C (50°F ~ 95°F,    -40°C to 60°C (-40°F to 140°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,46 lbs (20.9kg),CSE-116AC2-R706WB2,Super X11DDW-NT,1U Rackmount,,Intel® C622 chipset,Up to 28 Cores,"1.7"" (43mm)","17.2"" (437mm)","23.5"" (597mm)",Black,2 PCI-E 3.0 x16,1 PCI-E 3.0 x8,"2 PCI-E 3.0 x16 (FHHL) slots,    1 PCI-E 3.0 x8 (LP) slot,    1 PCI-E 3.0 x16 for Add-on-Module    1 PCI-E 3.0 x4 NVMe M.2 slot",3TB,6 USB 3.0,"6 USB 3.0 ports (4 rear, 2 front via header",Dual Socket P (LGA 3647) support,Y,1,supermicro,1029P-WTRT,SUPERMICRO,,,,,,,,,,
8,8.0,8.0,8.0,8.0,,97,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQ-350CB,Super X10SRi-F,1U Rackmount,350W AC power supply w/ PFC,Intel® C612 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.8"" (503mm)",Black,1x PCI-E 3.0 x16 slot,,1x PCI-E 3.0 x16 slot,1TB,2x USB 3.0 ports (2 rear,2x USB 3.0 ports (2 rear,Single socket R3 (LGA 2011) supports,Y,1,supermicro,5018R-M,S, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
9,9.0,9.0,9.0,9.0,,192,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQ-350CB,Super X10SRi-F,1U Rackmount,350W AC power supply w/ PFC,Intel® C612 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.8"" (503mm)",Black,1x PCI-E 3.0 x16 slot,,1x PCI-E 3.0 x16 slot,1TB,2x USB 3.0 ports (2 rear,2x USB 3.0 ports (2 rear,Single socket R3 (LGA 2011) supports,Y,1,supermicro,5018R-M,SUPERMICRO, 30.4 lbs (13.8 kg, 17.6 lbs (8 kg,,,,,,,,
10,10.0,10.0,10.0,10.0,,98,    10°C to 35°C (50°F to 95°F,    -40°C to 70°C (-40°F to 158°F,    8% to 90% (non-condensing,    5% to 95% (non-condensing,,,CSE-813MFTQ-R407CB,Super X10SRi-F,1U Rackmount,400W 1U Redundant Power Supplies with PMbus,Intel® C612 chipset,,"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,1x PCI-E 3.0 x16 slot,,1x PCI-E 3.0 x16 slot,1TB,2x USB 3.0 ports (2 rear,2x USB 3.0 ports (2 rear,Single socket R3 (LGA 2011) supports,Y,1,supermicro,5018R-MR,S, 31.4 lbs (14.3 kg, 18.6 lbs (8.5 kg,,,,,,,,
