,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,boms_id,chassis,motherboard,CPU,form_factor,chipset,cores,height_mm,width_mm,depth_mm,product_colour,drive_bays,Supported_memory_types,Operating Temperature, Non-operating Temperature, Operating Relative Humidity, Non-operating Relative Humidity,Gross Weight, Net Weight,num_of_m_2_supported,m_2_key,m_2_interface,m_2_form_factor,pcl_express_x16_slots,pcl_express_x8_slots,pcl_express_slots_version,maximum_internal_memory,usb_3_0_type_a_ports_quantity,usb_2_0_type_a_ports_quantity,processor_socket,num_of_storage_drives_supported,onboard_network_controllers,num_of_dimm_slots,backplanes_support,power_supply,ecc,nodes,partner,desc,type,Operating Temperature Range,Non-Operating Temperature Range,Operating Relative Humidity Range,Non-Operating Relative Humidity Range,Non-operating Temperature,Operating Relative Humidity,Non-operating Relative Humidity,Net Weight,"Net Weight w/ 2.5"" HDDs","Net Weight w/ 3.5"" HDDs",See Note * Non-operating Temperature,* Support for operating above 30°C is available in certain system configurations. Contact your Supermicro sales rep or Technical Support for more details. Non-operating Temperature,with HDD Non-operating Temperature
0,0.0,0.0,0.0,0.0,0.0,26,CSE-826BE1C4-R1K23LPB,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","2U chassis support max. motherboard size - ATX 12"" x 10"", E-ATX 12"" x 13"", EE-ATX 13"" x 13.68"". Support up to ATX 12""x13"" MB with rear 2.5"" HDD option installed",Intel® C621,Up to 28 cores,"3.5"" (89 mm)","17.2"" (437 mm)","25.5"" (647 mm)",Black,"12 x 3.5"" hot-swap SAS/SATA drive bay with SES3 Optional 2 x 2.5"" hot-swap drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,55 lbs (24.95 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,826BE1C4-R1K23LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
1,1.0,1.0,1.0,1.0,1.0,28,CSE-847BE1C4-R1K23LPB,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","4U Chassis for motherboard support size: (12"" x 10"") (13.68"" x 13"") (9.6"" x 9.6"")",Intel® C621,Up to 28 cores,"7"" (178 mm)","17.2"" (437 mm)","27.5"" (699 mm)",Black,"36 x 3.5"" hot-swap SAS/SATA drive bay with SES3 Optional 2 x 2.5"" hot-swap drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,91 lbs (41.28 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,847BE1C4-R1K23LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
2,2.0,2.0,2.0,2.0,2.0,31,CSE-825TQC-R1K03LPB,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","2U chassis supports for maximum motherboard sizes - 13.68"" x 13"", E-ATX 12"" x 13"", ATX 12"" x 10"" motherboards",Intel® C621,Up to 28 cores,"3.5"" (89 mm)","17.2"" (437 mm)","25.5"" (647 mm)",Black,"8 x 3.5"" hot-swap SAS3/SATA drive bay 2 x 3.5"" fixed drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,52 lbs (23.59 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 800/1000W Redundant Titanium Single Output Power Supply W/PMbus,Y,1,supermicro,825TQC-R1K03LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
3,3.0,3.0,3.0,3.0,3.0,32,CSE-836BE1C-R1K23B,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","3U chassis - supports for maximum motherboard sizes: 13.68"" x 13"" E-ATX and ATX",Intel® C621,Up to 28 cores,"5.2"" (132 mm)","17.2"" (437 mm)","25.5"" (647 mm)",Black,"16 x 3.5"" hot-swap SAS/SATA drive bay with SES2 Optional 2 x 2.5"" hot-swap drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,72 lbs (32.66 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,836BE1C-R1K23B,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
4,4.0,4.0,4.0,4.0,4.0,33,CSE-846BE1C-R1K23B,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","4U chassis support for max. motherboard size - EE-ATX (13.68"" x 13""), E-ATX (12"" x 13""), ATX (12"" x 10"")",Intel® C621,Up to 28 cores,"7"" (178 mm)","17.2"" (437 mm)","26"" (660 mm)",Black,"24 x 3.5"" hot-swap drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,75 lbs (34.02 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,846BE1C-R1K23B,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
5,5.0,5.0,5.0,5.0,5.0,35,CSE-216BE1C4-R1K23LPB,MBD-X11DPi-N,"2nd Gen Intel® Xeon® Scalable Processors and Intel® Xeon® Scalable Processors Dual Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s","2U chassis support max. motherboard size - ATX 12"" x 10"", E-ATX 12"" x 13"", EE-ATX 13"" x 13.68"". Support up to ATX 12""x13"" MB with rear 2.5"" HDD option installed",Intel® C621,Up to 28 cores,"3.5"" (89 mm)","17.2"" (437 mm)","24.8"" (630 mm)",Black,"24 x 2.5"" hot-swap SAS/SATA drive bay Optional 2 x 2.5"" hot-swap drive bay","2933/2666/2400/2133MHz ECC DDR4 RDIMM, LRDIMM",,,,,53 lbs (24.04 kg),,,,,,4 PCI-E 3.0 x16,2 PCI-E 3.0 x8,"PCI-E 3.0 x16,2 PCI-E 3.0 x8,2 PCI-E 3.0 NVMe x4 Internal Port(s)M.2 Interface: PCI-E 3.0 x4",4TB, 5 USB 3.2 Gen1 ports (2 rear + 2 via headers + 1 Type A,4 USB 2.0 ports (2 rear + 2 via headers,"Socket LGA-3647 (Socket P) supported, CPU TDP support Up to 205W TDP, 2 UPI up to 10.4 GT/s",,Dual LAN with 1GbE LAN with Intel® X722,16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,216BE1C4-R1K23LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
6,6.0,6.0,6.0,6.0,6.0,37,CSE-813MFTQC-R407CB,H11SSL-i,Single AMD EPYC™ 7001/7002* Series Processor (*AMD EPYC 7002 series drop-in support requires board revision 2.x),1U,System on Chip (SoC),Up to 32 Cores (Board revision 1.x + 7001 Processors) Up to 64 Cores (Board revision 2.x + 7002 Processors),"1.7"" (43mm)","17.2"" (437mm)","19.85"" (503mm)",Black,"Hot-swap 4 hot-swap 3.5"" SATA3 drive bays","DDR4 2666 MHz Registered ECC, 288-pin gold-plated DIMMs DDR4 3200 MHz Registered ECC, 288-pin gold-plated DIMMs (Board revision 2.x required + 7002 Processors)",10°C to 35°C (50°F to 95°F,,,,33 lbs (15.0 kg,,3.0, Single, PCI-E 3.0 x4 (NVMe based," 2280, 22110 ",1 PCI-E 3.0 x16 (FH/HL) slot,,3.0 x16 (FH/HL) slotM.2 Interface: PCI-E 3.0 x4 (NVMe based),1TB,5 USB 3.0 ports (2 rear + 2 via header + 1 Type A," 4 USB 2.0 ports (2 rear, 2 via header",,,Intel® I210 Controller,8 DIMM,SATA3,400W 1U Redundant Power Supplies with PMbus,Y,1,supermicro,1013S-MTR,S,,,,,-40°C to 70°C (-40°F to 158°F,8% to 90% (non-condensing,5% to 95% (non-condensing,20 lbs (9.1 kg,,,,,
7,7.0,7.0,7.0,7.0,7.0,39,CSE-216BE1C4-R1K23LPB,MBD-X10DRi,"Intel® Xeon® processor E5-2600 v3, Intel® Xeon® processor E5-2600 v4. Dual Socket R3 (LGA 2011) supported, CPU TDP support Up to 145W, 2 QPI up to 9.6GT/s","2U chassis support max. motherboard size - ATX 12"" x 10"", E-ATX 12"" x 13"", EE-ATX 13"" x 13.68"". Support up to ATX 12""x13"" MB with rear 2.5"" HDD option installed",Intel® C612,Up to 24 cores / Up to 55MB† cache,"3.5"" (89 mm)","17.2"" (437 mm)","24.8"" (630 mm)",Black,"24 x 2.5"" hot-swap SAS/SATA drive bay Optional 2 x 2.5"" hot-swap drive bay",2400/2133/1866/1600MHz ECC DDR4 SDRAM 72-bit,,,,,53 lbs (24.04 kg),,,,,,3 PCI-E 3.0 x16,3 PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,2TB,5 USB 3.0,6 USB 2.0, Dual socket R3 (LGA 2011) supports,,"Dual LAN with Intel® i350 Gigabit Ethernet Controller Single LAN with Virtual Machine Device Queues reduce I/O overhead Single LAN with Supports 10Base-T, 100BASE-TX, and 1000BASE-T, RJ45 output",16 DIMM,SATA3,1U 1200W/1000W Titanium Power Supply W/PMbus W76xL336xH40mm,Y,1,supermicro,216BE1C4-R1K23LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
8,8.0,8.0,8.0,8.0,8.0,40,CSE-825TQC-R740LPB,MBD-X10DRi,"Intel® Xeon® processor E5-2600 v3, Intel® Xeon® processor E5-2600 v4. Dual Socket R3 (LGA 2011) supported, CPU TDP support Up to 145W, 2 QPI up to 9.6GT/s","2U chassis supports for maximum motherboard sizes - 13.68"" x 13"", E-ATX 12"" x 13"", ATX 12"" x 10"" motherboards",Intel® C612,Up to 24 cores / Up to 55MB† cache,"3.5"" (89 mm)","17.2"" (437 mm)","25.5"" (647 mm)",Black,"8 x 3.5"" hot-swap SAS3/SATA drive bay 2 x 3.5"" fixed drive bay",2400/2133/1866/1600MHz ECC DDR4 SDRAM 72-bit,,,,,52 lbs (23.59 kg),,,,,,3 PCI-E 3.0 x16,3 PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,2TB,5 USB 3.0,6 USB 2.0, Dual socket R3 (LGA 2011) supports,,"Dual LAN with Intel® i350 Gigabit Ethernet Controller Single LAN with Virtual Machine Device Queues reduce I/O overhead Single LAN with Supports 10Base-T, 100BASE-TX, and 1000BASE-T, RJ45 output",16 DIMM,SATA3,1U 740W Redundant Platinum Power Supply W/PMbus,Y,1,supermicro,825TQC-R740LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
9,9.0,9.0,9.0,9.0,9.0,42,CSE-826BE1C-R920LPB,MBD-X10DRi,"Intel® Xeon® processor E5-2600 v3, Intel® Xeon® processor E5-2600 v4. Dual Socket R3 (LGA 2011) supported, CPU TDP support Up to 145W, 2 QPI up to 9.6GT/s","2U chassis support max. motherboard size - ATX 12"" x 10"", E-ATX 12"" x 13"", EE-ATX 13"" x 13.68"". Support up to ATX 12""x13"" MB with rear 2.5"" HDD option installed",Intel® C612,Up to 24 cores / Up to 55MB† cache,"3.5"" (89 mm)","17.2"" (437 mm)","25.5"" (647 mm)",Black,"12 x 3.5"" hot-swap SAS/SATA drive bay with SES3 Optional 2 x 2.5"" hot-swap drive bay",2400/2133/1866/1600MHz ECC DDR4 SDRAM 72-bit,,,,,55 lbs (24.95 kg),,,,,,3 PCI-E 3.0 x16,3 PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,PCI-E 3.0 x16 and 3 PCI-E 3.0 x8,2TB,5 USB 3.0,6 USB 2.0, Dual socket R3 (LGA 2011) supports,,"Dual LAN with Intel® i350 Gigabit Ethernet Controller Single LAN with Virtual Machine Device Queues reduce I/O overhead Single LAN with Supports 10Base-T, 100BASE-TX, and 1000BASE-T, RJ45 output",16 DIMM,SATA3,1U 920W Redundant Platinum Super Quiet power supply W/PMbus,Y,1,supermicro,826BE1C-R920LPB,D,5°C - 35°C (41°F - 95°F),-40°C - 70°C (-40°F - 158°F),8% - 90% (non-condensing),5% - 95% (non-condensing),,,,,,,,,
